422-092815	208-9-10-14_S11	62-10-2-13_S6	115-031814	272-121914
A1BG	16.0542299384782	6.26647081358409	15.0910452817442	19.3737590863468	6.10102551384364
A2M	94.5240292946817	86.9473677219625	484.386201778992	633.372634339987	594.434216469041
A4GALT	11.4553986770317	1.33624712422248	2.00982278864853	5.15805653008647	13.3967401284576
AAAS	18.8920222920124	0.777414243421973	6.96012969453796	34.4612499353087	18.4817076257978
AACS	14.7934572200953	9.54192425325884	7.63338750665595	17.6625621509122	25.3510832765942
AADAT	3.88848839055372	0.241885085879154	0.51545976921013	2.18903799324328	11.8010566868742
AAGAB	70.8896890950194	11.7359155991143	30.1402728465496	84.8100184781058	45.1717968734871
AAK1	4.29247839279106	6.1807725293793	7.02807327280287	7.73582806782164	9.91463219807362
AAMP	325.03392701401	54.6541365611226	53.6760683302576	346.998575252912	341.98299570003
AANAT	0.353009032291918	0.151297824950223	0.0915582147685894	0.61640437893526	1.11486839452855
AARS	166.628236105516	72.4150863547681	27.5354881107751	114.038008726729	206.042257082831
AARS2	25.5972551542369	35.7820325558266	14.5233232279146	17.5849553084168	25.3542052121217
AARSD1	0.215602318850383	0	0	0.434391413285884	0.117398681681259
AASDH	10.4791194892198	7.25383506465195	27.1392012783564	8.68915769620976	5.95322996073657
AASDHPPT	12.7794194824411	7.03833088521907	10.0577644748487	2.7797818145861	14.9595485110746
AASS	11.6503520026932	21.6502948271319	25.5274115479144	16.138678777798	25.1285355989753
AATF	66.9675022288574	86.5887932646624	26.0562715525342	73.8014803039786	48.7322854634098
AATK	6.84662759194636	0.357026037826713	1.72343271138958	7.23096370822436	30.0201517056434
ABAT	1.84545145549945	0.936820339576478	2.8098819562793	3.68468304836087	6.12431105270923
ABCA1	17.2063400238565	18.3489405185467	16.5735825069846	11.9427449712841	18.8530355999704
ABCA10	0.302675740040469	2.48704648980261	1.60507656099	0.359640544332958	0.304267309986022
ABCA11P	0	0	0	0	0
ABCA13	0.034404359357315	0.0464052402831225	0.0407908668908063	0.0288821845008203	0.646312213472426
ABCA2	8.55436168299595	23.2252486772354	9.8085489916704	28.7015819001779	23.9621737249443
