148-6-5-14_S9	422-092815	208-3-11-15_S13	39-3-31-14_S15	42-10-17-14_S3	62-10-2-13_S6	MGH42_101714.bam	MGH208_031115-2.bam	MGH39_033114.bam	MGH208_031115-1.bam	MGH42_101714_1.bam
A1BG	6.16546439271441	16.0542299384782	15.7648838865484	10.8659849012026	0.078271678475069	15.0910452817442	0.300299872188949	35.1632352048284	17.4561120866069	27.1630431513594	0.194977985704446
A2M	144.601821939481	94.5240292946817	128.766003380482	341.096972486222	77.6790097964765	484.386201778992	142.84010948713	263.84243606728	821.261088104041	378.760056003251	77.3586125942457
A4GALT	1.14931408313954	11.4553986770317	4.68644880089061	0.182494155698325	0.472867243548826	2.00982278864853	6.92932996249265	11.3688102783309	2.70993294556919	29.4820325788016	1.93987106947168
AAAS	6.61518260922808	18.8920222920124	4.16677897744609	10.8225621335794	4.00574561064698	6.96012969453796	19.334174420912	23.7484931073011	41.5012078018028	37.2833911377331	26.4565181111042
AACS	5.23872738942362	14.7934572200953	3.42317522399017	7.8558391215856	14.5305034125392	7.63338750665595	20.1030933306867	23.4375614282024	26.2001133655689	27.3882186615914	17.6512138197742
AADAT	1.22618533229066	3.88848839055372	3.10118194888229	1.53695030008204	2.44536083185083	0.51545976921013	7.49603586125932	9.66277915118373	5.52131980117917	10.6224291287969	6.31202157142049
AAGAB	33.980771134635	70.8896890950194	15.9112309451713	30.2705488620584	34.6380919051552	30.1402728465496	52.3065780011127	32.2295322611638	34.1738175198574	27.3084158537089	46.2209912110452
AAK1	18.1837880456328	4.29247839279106	11.6309513948885	15.4228771672135	8.58036011044362	7.02807327280287	5.32431659283812	7.5018425747459	5.25526394115783	10.793189438913	3.01011405388275
AAMP	41.3968899530963	325.03392701401	21.128010427284	43.1332578122835	68.0250920705057	53.6760683302576	166.947695846565	168.713015492704	262.952309882294	187.340173698289	227.298827165227
AANAT	0.14353543250725	0.353009032291918	0	0.0541261858417766	0	0.0915582147685894	0	0.701773640512098	0.0614134992099805	0.633574101131947	0
