422-110515	208-10-22-14_S12	62-5-27-14_S7	115-041514	272-020415
A1BG	9.72320196213886	4.16646410290655	6.58654757581505	10.1020712673913	9.5459619379435
A2M	90.7878736896975	302.051102979933	1698.57281069737	1547.70254205733	783.165486111683
A4GALT	50.306313880333	2.98092555074974	0.608985647820447	1.00385991028272	17.6191555797203
AAAS	22.5269745707604	1.19022322778032	6.16666395525138	28.8083776735749	17.7126691063665
AACS	21.6968053846973	9.46453927801004	6.58359935751125	8.67887351006333	24.1299746654078
AADAT	1.59589455181197	0.47330657333575	1.57582154125166	0.734964255825728	9.7252204574325
AAGAB	51.2202078771434	21.6408071424641	45.3656488477234	87.4020482444278	43.3263848533837
AAK1	14.5152616697521	9.72964549952582	6.39386581655712	11.5041845053861	9.82935810916844
AAMP	205.442654410226	87.2528443467224	50.660541362334	390.542766135024	343.018417114664
AANAT	3.33868499803552	0	0	1.08890848906917	1.70344999090856
AARS	73.6092331746749	41.2963676314613	82.37317734072	146.542502636442	179.096582226839
AARS2	21.1363196336063	33.8517893377156	19.5908293596757	18.8506704374619	22.7132142859792
AARSD1	0.0835705439962904	0.145711128506668	0	0.41566074410144	0.0634385357150255
AASDH	13.0214033234557	12.9009987588492	7.97187218528539	16.2399921293136	6.94591294182327
AASDHPPT	10.3882820898409	5.83731573196979	8.00070356838678	10.2739389501236	17.0198488508637
AASS	10.2996336197688	12.3083969766175	7.80455608744955	22.590133160457	24.9805995280267
AATF	61.6892680735831	65.1922354294775	73.9642129019483	104.312763371243	47.1122322420729
AATK	2.99628319289882	0.638772089910247	2.08252769671896	3.03378964092352	40.5670367735448
ABAT	12.9531533155784	1.52123786045034	0.550597273006921	1.98727019730901	5.26859812149482
ABCA1	21.1416369375907	40.456391155372	34.6631676837781	16.4054163181164	26.3644590535946
ABCA10	2.14788497192412	5.9292875779659	0.64670863705714	1.06232386479711	1.10981093025489
ABCA11P	0	0	0	0	0
ABCA13	0.0533424880152595	0.0813805862099168	0.0883437961195316	0.0442188862254885	0.577016262692901
ABCA2	35.0858756088949	7.54312201535487	5.60899856356866	64.0637492530717	37.6048553265469
ABCA3	14.9960912697959	0.968408288607712	12.6921187317919	28.0274577539105	1.98031929037337
ABCA4	0.498952975355208	0.0229926231930232	0.35185162504659	0.180955673997065	0.118361254432373
ABCA5	6.11652270283328	9.89908502081706	17.7038474916596	6.16337638434903	1.67743369264693
ABCA6	9.76417245513022	5.07993630141322	0.930820533230695	0.643241818800654	3.64873248492674
ABCA7	67.655790798048	4.51578595682908	2.183272243655	24.8275100942909	21.5017916851118
ABCA8	3.10123596489742	7.96155577068862	5.46175336488163	0.252349077380799	11.2363879486987
ABCA9	2.64810536382946	2.60041364385409	0.758621652693712	2.69134868336385	4.1305090762086
ABCB1	6.17981717121568	2.03337846271486	3.39667560771231	2.95316227716496	5.86848569460404
ABCB10	35.4487676400265	12.0495901584884	61.0171632711609	22.6365762269169	17.7289561144925
ABCB4	9.9359050754474	0.703758308588569	4.16760932694283	0.450989147318561	1.0433238065005
ABCB5	0.415030409782041	104.075518979908	169.047953939248	1.83080751909112	0.573841541935761
ABCB6	24.7630776504569	2.07269613376226	19.8683662008875	33.9302528689579	27.6791710284991
ABCB7	19.210713101034	8.54686587187347	23.3415165436483	14.8383042988665	17.1220208910353
ABCB8	22.3355644489479	2.3655450866745	1.52139617333931	47.1007534988303	15.9079070232735
ABCB9	3.107128540689	0.827070444149905	2.98739637793486	6.12334074002305	23.8310263393042
ABCC1	29.8207684564015	25.3541530936295	7.17600247361679	19.6750287955099	11.3449729069307
ABCC10	21.1079146953459	3.55702010399773	4.38488123209152	16.2987098822092	19.5077082075084
ABCC11	0.256161149033587	0.309059409566002	2.70255761296851	45.6740842806991	0.37122720292049
ABCC2	1.61636843327765	22.7486967871748	9.07876106530657	0.609048966652225	2.45397580725753
ABCC3	24.4693796098612	1.1477489249406	0.308899507625464	1.42061200801116	6.33978469730087
ABCC4	9.84298299864455	21.7494301933657	25.3645872525899	10.3393492295931	6.9589162175997
ABCC5	17.6089216628935	18.3453158160037	15.3961295045215	27.8501294652844	21.8843984638762
ABCC6	0.450953209956453	0.194659350782809	0.437827885006039	0.0849597718187138	0.155599688313503
ABCC9	3.0300490945433	6.19969387905964	8.51647215192888	0.336401119799777	2.38226216131973
ABCD1	19.9688562133411	7.38759209418519	11.7659027356824	152.379675056626	136.853186943038
ABCD2	9.21921629661488	3.47784893185495	0.267917411822147	1.3717089378632	3.68676174220067
ABCD3	7.04223450355969	21.1266786884495	36.9078767838876	25.9455269667157	9.45790369263656
ABCD4	37.9086091814306	12.0664215072328	27.0789011539544	16.3877127624074	28.611578581478
ABCE1	71.2017860278822	87.2780257457223	63.4610169874797	70.8146959627938	77.6338268254882
ABCF1	16.9097761571913	0	0	21.4985334125807	14.5515488265386
ABCF2	47.3310823947973	12.2619855174389	26.3212743045036	112.235797104989	37.9786894866388
ABCF3	79.6037632191738	12.7533800178285	13.6712930343793	109.515144542305	75.9465696585354
ABCG1	45.8703385123429	9.09193886044594	17.7352098538135	59.5879011806986	26.7533167820263
ABCG2	1.90170659714732	2.17885668439771	2.49271496065504	0.818153532175941	0.858843831225064
ABHD1	1.50162769913334	1.57377844941645	0.51149911370486	0.1965461113002	0.179982319884279
ABHD10	50.9126494775694	26.2799655937572	47.6915667959965	40.7469724412082	33.8362921076899
ABHD11	24.0341695669332	13.9897827706557	6.78782305989385	32.7358907890356	19.0656674541394
ABHD12	44.3375336428319	10.197910826001	20.5202043426331	100.474372096662	141.466103429043
